segment_id,text_preview,Ta_proxy,Gamma_proxy,phi_dot_proxy
71,ned; fight not unless the position is critical.  [,0.000363,0.020539,0.250000
72,"comparatively trifling amount for this purpose, wh",0.000380,0.019792,0.250000
73,attack the rebel Li Hsiung of Shu in his stronghol,0.000356,0.021520,0.250000
74,"deceive our own spies, who must be led to believe ",0.000364,0.024437,0.250000
75,"gence."" Tu Mu strangely refers these attributes to",0.000375,0.016906,0.250000
76,was due to Lü Ya  [Lu Shang rose to high office un,0.000434,0.021878,0.250000
77,ile or online at www.gutenberg.org/license.  Secti,0.000570,0.018384,0.250000
78,"th permission of the copyright holder), the work c",0.000498,0.022130,0.250000
79,Project Gutenberg™ works.       1.E.9. If you wish,0.000441,0.016485,0.250000
80,ion 2. Information about the Mission of Project Gu,0.000467,0.017358,0.250000
81,e start at our website which has the main PG searc,0.000524,0.017877,0.250000
